==11337== NVPROF is profiling process 11337, command: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==11337== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11337== Profiling application: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Profiling result:
==11337== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_per_warp","Instructions per warp",14748.538086,14748.538086,14748.538086
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",37.772282%,37.772283%,37.772283%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_replay_overhead","Instruction Replay Overhead",0.000054,0.000073,0.000062
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gld_transactions_per_request","Global Load Transactions Per Request",0.567973,0.567973,0.567973
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gld_transactions","Global Load Transactions",14441554,14441554,14441554
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gst_transactions","Global Store Transactions",28416,28416,28416
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_read_transactions","L2 Read Transactions",2123131,2124503,2123745
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_write_transactions","L2 Write Transactions",28429,28429,28429
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"global_hit_rate","Global Hit Rate in unified l1/tex",32.789927%,32.844343%,32.823641%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gld_requested_throughput","Requested Global Load Throughput",26.154507GB/s,26.364382GB/s,26.243136GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gst_requested_throughput","Requested Global Store Throughput",431.562386MB/s,435.025418MB/s,433.024802MB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gld_throughput","Global Load Throughput",46.879880GB/s,47.256064GB/s,47.038740GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"gst_throughput","Global Store Throughput",431.562386MB/s,435.025418MB/s,433.024802MB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"tex_cache_hit_rate","Unified Cache Hit Rate",58.855523%,58.869650%,58.864811%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",14.340828%,14.388630%,14.360103%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"tex_cache_throughput","Unified Cache Throughput",53.546928GB/s,53.976611GB/s,53.728380GB/s
