==4736== NVPROF is profiling process 4736, command: ./sssp32 ../../data/ship_003.mtx
==4736== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==4736== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4736== Profiling application: ./sssp32 ../../data/ship_003.mtx
==4736== Profiling result:
==4736== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_per_warp","Instructions per warp",6909.947886,6909.947886,6909.947886
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",92.804055%,92.804055%,92.804055%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_replay_overhead","Instruction Replay Overhead",0.000072,0.000198,0.000137
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_transactions_per_request","Global Load Transactions Per Request",16.000001,16.000001,16.000001
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_store_transactions","Shared Store Transactions",0,0,0
